,learning_rate,discount_factor,exploration_rate,wins,losses,net_chips
11,0.01,0.8,0.05,44535,49463,-6834
9,0.01,0.9,0.05,44312,49526,-6728
17,0.01,0.9,0.1,44382,49583,-7197
15,0.01,0.8,0.1,44611,49631,-6308
20,0.01,0.7,0.05,44429,49663,-7178
21,0.01,0.9,0.2,44566,49794,-6344
4,0.01,0.7,0.2,44643,49828,-6076
8,0.01,0.8,0.2,44681,49866,-6916
25,0.01,0.7,0.1,44655,50126,-6915
16,0.1,0.8,0.05,44166,50379,-6911
6,0.1,0.9,0.1,44099,50880,-7360
23,0.1,0.7,0.05,43942,50918,-8045
2,0.1,0.7,0.2,44125,50959,-8388
22,0.1,0.9,0.05,43895,51188,-8782
5,0.1,0.7,0.1,43688,51233,-9627
3,0.1,0.9,0.2,43594,51293,-9845
7,0.1,0.8,0.2,43587,51331,-10755
13,0.1,0.8,0.1,43695,51486,-8634
0,0.001,0.8,0.1,40209,52780,-13251
19,0.001,0.8,0.2,39995,52906,-12911
14,0.001,0.7,0.2,39883,53270,-13387
1,0.001,0.9,0.2,39950,53430,-13501
12,0.001,0.9,0.1,39707,53484,-14129
24,0.001,0.7,0.05,39247,53928,-14994
26,0.001,0.7,0.1,38759,54240,-15663
10,0.001,0.8,0.05,39012,54589,-15577
18,0.001,0.9,0.05,37513,56046,-18634
